z,p,cascades,verlauf
1,0.1,257,"[30, 63, 95, 113, 124, 137, 153, 169, 182, 201, 213, 223, 231, 238, 241, 246, 247, 249, 251, 253, 254, 257, 257]"
1,0.11,143,"[30, 54, 70, 81, 92, 102, 108, 114, 120, 125, 129, 132, 136, 138, 140, 143, 143]"
1,0.12,360,"[30, 53, 71, 93, 121, 145, 171, 192, 218, 244, 267, 291, 307, 322, 333, 342, 349, 353, 357, 360, 360]"
1,0.13,223,"[30, 63, 95, 113, 123, 133, 144, 157, 169, 186, 197, 205, 212, 218, 220, 223, 223]"
1,0.13999999999999999,143,"[30, 54, 70, 81, 92, 102, 108, 114, 120, 125, 129, 132, 136, 138, 140, 143, 143]"
1,0.14999999999999997,285,"[30, 53, 71, 92, 117, 137, 155, 167, 183, 200, 213, 230, 242, 254, 262, 269, 275, 278, 282, 285, 285]"
1,0.15999999999999998,175,"[30, 63, 94, 110, 117, 124, 133, 142, 151, 164, 171, 172, 173, 175, 175]"
1,0.16999999999999998,140,"[30, 54, 70, 81, 91, 99, 105, 111, 117, 122, 126, 129, 133, 135, 137, 140, 140]"
1,0.17999999999999997,241,"[30, 53, 71, 91, 113, 128, 139, 147, 157, 170, 181, 195, 204, 213, 219, 225, 231, 234, 238, 241, 241]"
1,0.18999999999999995,175,"[30, 62, 93, 110, 117, 124, 133, 142, 151, 164, 171, 172, 173, 175, 175]"
1,0.19999999999999996,140,"[30, 54, 70, 81, 91, 99, 105, 111, 117, 122, 126, 129, 133, 135, 137, 140, 140]"
1,0.20999999999999996,234,"[30, 53, 70, 88, 108, 122, 132, 140, 150, 163, 174, 188, 197, 206, 212, 218, 224, 227, 231, 234, 234]"
1,0.21999999999999995,175,"[30, 62, 93, 110, 117, 124, 133, 142, 151, 164, 171, 172, 173, 175, 175]"
1,0.22999999999999995,122,"[30, 54, 70, 81, 91, 99, 105, 111, 117, 121, 122, 122]"
1,0.23999999999999994,171,"[30, 52, 67, 83, 101, 115, 125, 133, 142, 151, 156, 161, 165, 169, 171, 171]"
1,0.24999999999999992,153,"[30, 62, 93, 110, 117, 124, 132, 138, 142, 150, 153, 153]"
2,0.1,7900,"[30, 78, 151, 256, 453, 772, 1299, 2091, 3192, 4564, 5897, 6852, 7429, 7687, 7804, 7854, 7875, 7891, 7897, 7899, 7900, 7900]"
2,0.11,8039,"[30, 78, 169, 310, 569, 1035, 1799, 2968, 4421, 5843, 6910, 7531, 7827, 7943, 8001, 8024, 8033, 8039, 8039]"
2,0.12,7845,"[30, 88, 173, 291, 502, 857, 1447, 2319, 3524, 4836, 6042, 6904, 7393, 7641, 7763, 7822, 7839, 7843, 7844, 7845, 7845]"
2,0.13,7881,"[30, 78, 150, 248, 421, 678, 1087, 1720, 2603, 3793, 5089, 6198, 7030, 7469, 7697, 7794, 7839, 7866, 7873, 7876, 7880, 7881, 7881]"
2,0.13999999999999999,8019,"[30, 75, 151, 266, 465, 794, 1329, 2214, 3411, 4806, 6068, 6976, 7526, 7795, 7931, 7978, 7998, 8014, 8019, 8019]"
2,0.14999999999999997,7810,"[30, 87, 167, 273, 459, 752, 1224, 1920, 2896, 4111, 5375, 6408, 7074, 7444, 7641, 7749, 7789, 7804, 7807, 7809, 7810, 7810]"
2,0.15999999999999998,7862,"[30, 78, 148, 236, 386, 596, 918, 1399, 2062, 2982, 4102, 5287, 6352, 7072, 7475, 7685, 7789, 7836, 7851, 7855, 7859, 7861, 7862, 7862]"
