z,p,cascades,verlauf
1,0.1,229,"[30, 63, 93, 127, 156, 179, 195, 206, 216, 221, 225, 228, 229, 229]"
1,0.11,287,"[30, 60, 86, 109, 126, 148, 161, 174, 182, 186, 189, 197, 205, 220, 231, 242, 254, 263, 272, 281, 285, 287, 287]"
1,0.12,410,"[30, 64, 96, 125, 148, 166, 185, 198, 212, 224, 237, 252, 269, 284, 297, 310, 320, 328, 334, 338, 345, 348, 349, 350, 352, 357, 364, 374, 386, 399, 405, 408, 409, 410, 410]"
1,0.13,396,"[30, 63, 90, 115, 138, 160, 181, 205, 218, 227, 239, 253, 260, 266, 270, 276, 282, 288, 294, 302, 309, 321, 325, 331, 339, 345, 351, 357, 367, 377, 386, 390, 392, 395, 396, 396]"
1,0.13999999999999999,293,"[30, 60, 83, 105, 125, 149, 171, 192, 210, 232, 251, 264, 270, 277, 282, 289, 291, 293, 293]"
1,0.14999999999999997,217,"[30, 61, 90, 113, 137, 155, 170, 184, 192, 199, 205, 209, 211, 212, 213, 214, 215, 216, 217, 217]"
1,0.15999999999999998,341,"[30, 62, 94, 118, 139, 155, 167, 180, 193, 201, 210, 216, 224, 229, 239, 251, 261, 271, 280, 293, 305, 308, 310, 312, 314, 316, 319, 323, 328, 336, 340, 341, 341]"
1,0.16999999999999998,217,"[30, 64, 96, 135, 161, 174, 188, 194, 196, 197, 199, 200, 204, 206, 209, 212, 214, 216, 217, 217]"
1,0.17999999999999997,365,"[30, 61, 86, 107, 127, 143, 164, 187, 207, 229, 244, 259, 272, 287, 302, 312, 317, 321, 331, 341, 348, 356, 358, 361, 364, 365, 365]"
1,0.18999999999999995,297,"[30, 61, 90, 112, 131, 143, 151, 160, 170, 177, 185, 191, 199, 204, 214, 225, 233, 241, 244, 252, 261, 264, 266, 268, 270, 272, 275, 279, 284, 292, 296, 297, 297]"
1,0.19999999999999996,181,"[30, 64, 95, 130, 154, 164, 176, 180, 181, 181]"
1,0.20999999999999996,225,"[30, 61, 86, 105, 121, 132, 144, 153, 166, 178, 186, 193, 200, 206, 212, 215, 219, 220, 222, 224, 225, 225]"
1,0.21999999999999995,240,"[30, 61, 90, 112, 131, 143, 151, 160, 170, 177, 185, 191, 199, 203, 208, 216, 223, 231, 233, 236, 239, 240, 240]"
1,0.22999999999999995,141,"[30, 63, 89, 114, 132, 138, 141, 141]"
1,0.23999999999999994,192,"[30, 60, 82, 98, 110, 119, 130, 136, 143, 150, 156, 162, 169, 175, 181, 183, 186, 187, 189, 191, 192, 192]"
1,0.24999999999999992,178,"[30, 60, 87, 108, 126, 138, 145, 151, 157, 161, 163, 166, 169, 171, 175, 178, 178]"
2,0.1,7971,"[30, 94, 206, 431, 822, 1431, 2361, 3627, 5055, 6290, 7116, 7577, 7798, 7900, 7946, 7964, 7967, 7970, 7971, 7971]"
2,0.11,7998,"[30, 89, 180, 347, 631, 1151, 1975, 3147, 4542, 5886, 6899, 7499, 7783, 7911, 7958, 7981, 7990, 7996, 7997, 7998, 7998]"
2,0.12,7974,"[30, 86, 197, 386, 718, 1277, 2136, 3326, 4661, 5928, 6878, 7440, 7737, 7869, 7926, 7952, 7966, 7970, 7973, 7974, 7974]"
2,0.13,7958,"[30, 91, 183, 353, 657, 1128, 1812, 2794, 4041, 5393, 6509, 7237, 7599, 7795, 7877, 7918, 7942, 7954, 7958, 7958]"
2,0.13999999999999999,7975,"[30, 86, 166, 306, 523, 901, 1495, 2341, 3432, 4694, 5944, 6897, 7470, 7768, 7889, 7935, 7956, 7967, 7970, 7974, 7975, 7975]"
2,0.14999999999999997,7925,"[30, 85, 191, 364, 649, 1083, 1757, 2719, 3892, 5132, 6235, 7051, 7532, 7748, 7846, 7885, 7908, 7915, 7920, 7923, 7924, 7925, 7925]"
2,0.15999999999999998,7941,"[30, 90, 177, 324, 577, 935, 1436, 2152, 3126, 4325, 5525, 6530, 7178, 7551, 7745, 7850, 7901, 7935, 7941, 7941]"
2,0.16999999999999998,7939,"[30, 84, 155, 274, 442, 708, 1121, 1705, 2480, 3461, 4607, 5749, 6692, 7319, 7655, 7795, 7870, 7909, 7925, 7935, 7938, 7939, 7939]"
2,0.17999999999999997,7869,"[30, 83, 179, 312, 511, 785, 1208, 1784, 2565, 3553, 4675, 5779, 6669, 7211, 7558, 7721, 7783, 7818, 7837, 7852, 7859, 7865, 7869, 7869]"
2,0.18999999999999995,7901,"[30, 81, 139, 227, 366, 564, 814, 1155, 1663, 2362, 3250, 4278, 5358, 6256, 6927, 7382, 7645, 7773, 7842, 7873, 7888, 7897, 7900, 7901, 7901]"
2,0.19999999999999996,7830,"[30, 84, 152, 258, 395, 585, 852, 1211, 1669, 2256, 3001, 3858, 4824, 5734, 6510, 7065, 7432, 7633, 7730, 7778, 7798, 7814, 7824, 7827, 7829, 7830, 7830]"
2,0.20999999999999996,7769,"[30, 80, 164, 275, 443, 657, 955, 1334, 1837, 2510, 3333, 4242, 5192, 6053, 6694, 7147, 7425, 7596, 7684, 7731, 7747, 7761, 7767, 7769, 7769]"
2,0.21999999999999995,7774,"[30, 77, 124, 187, 273, 378, 495, 649, 866, 1148, 1507, 1953, 2535, 3240, 4068, 4912, 5722, 6423, 6933, 7281, 7483, 7588, 7662, 7703, 7735, 7755, 7770, 7774, 7774]"
2,0.22999999999999995,7628,"[30, 81, 141, 225, 320, 424, 553, 706, 902, 1140, 1433, 1783, 2189, 2689, 3295, 3989, 4751, 5475, 6098, 6602, 6974, 7219, 7363, 7457, 7521, 7557, 7578, 7595, 7606, 7611, 7617, 7621, 7623, 7625, 7626, 7627, 7628, 7628]"
2,0.23999999999999994,7541,"[30, 76, 143, 217, 312, 421, 558, 717, 903, 1117, 1362, 1652, 2021, 2469, 2993, 3602, 4299, 5035, 5734, 6319, 6742, 7027, 7220, 7345, 7410, 7461, 7493, 7509, 7521, 7528, 7533, 7537, 7539, 7540, 7541, 7541]"
2,0.24999999999999992,7513,"[30, 77, 120, 173, 237, 309, 382, 470, 584, 719, 874, 1037, 1235, 1484, 1774, 2116, 2497, 2961, 3488, 4098, 4720, 5320, 5878, 6338, 6687, 6972, 7173, 7300, 7387, 7445, 7484, 7495, 7502, 7510, 7513, 7513]"
3,0.1,9472,"[30, 99, 269, 696, 1679, 3716, 6558, 8608, 9289, 9442, 9466, 9470, 9471, 9472, 9472]"
