z,p,cascades,verlauf
1,0.1,135,"[30, 56, 82, 102, 113, 119, 123, 126, 129, 131, 132, 134, 135, 135]"
1,0.11,91,"[30, 53, 67, 73, 79, 85, 90, 91, 91]"
1,0.12,104,"[30, 51, 68, 78, 87, 91, 95, 102, 104, 104]"
1,0.13,99,"[30, 54, 63, 69, 75, 82, 86, 89, 92, 95, 97, 99, 99]"
1,0.13999999999999999,116,"[30, 51, 67, 84, 98, 106, 109, 111, 112, 114, 115, 116, 116]"
1,0.14999999999999997,75,"[30, 50, 59, 66, 71, 73, 74, 75, 75]"
1,0.15999999999999998,83,"[30, 51, 62, 66, 71, 77, 82, 83, 83]"
1,0.16999999999999998,101,"[30, 51, 68, 78, 87, 90, 93, 99, 101, 101]"
1,0.17999999999999997,83,"[30, 54, 62, 67, 73, 79, 82, 83, 83]"
1,0.18999999999999995,103,"[30, 50, 65, 81, 91, 95, 96, 98, 99, 101, 102, 103, 103]"
1,0.19999999999999996,67,"[30, 50, 59, 65, 67, 67]"
1,0.20999999999999996,80,"[30, 50, 59, 63, 68, 74, 79, 80, 80]"
1,0.21999999999999995,90,"[30, 49, 63, 70, 77, 79, 82, 88, 90, 90]"
1,0.22999999999999995,82,"[30, 54, 61, 66, 72, 78, 81, 82, 82]"
1,0.23999999999999994,93,"[30, 48, 61, 75, 83, 85, 86, 88, 89, 91, 92, 93, 93]"
1,0.24999999999999992,63,"[30, 49, 57, 61, 63, 63]"
2,0.1,4890,"[30, 72, 119, 159, 226, 315, 421, 553, 746, 1001, 1289, 1599, 1934, 2286, 2640, 2952, 3251, 3552, 3810, 4021, 4196, 4341, 4446, 4543, 4617, 4682, 4739, 4784, 4811, 4824, 4838, 4845, 4849, 4852, 4858, 4864, 4867, 4868, 4870, 4871, 4873, 4877, 4882, 4885, 4889, 4890, 4890]"
2,0.11,4470,"[30, 75, 140, 206, 290, 386, 502, 659, 855, 1084, 1323, 1614, 1895, 2173, 2434, 2697, 2963, 3223, 3462, 3665, 3834, 3959, 4077, 4184, 4267, 4328, 4374, 4410, 4429, 4446, 4462, 4468, 4470, 4470]"
2,0.12,4135,"[30, 80, 126, 187, 269, 385, 510, 655, 817, 996, 1210, 1453, 1732, 2009, 2286, 2550, 2801, 3032, 3221, 3383, 3505, 3619, 3703, 3776, 3845, 3908, 3958, 4006, 4044, 4075, 4096, 4105, 4114, 4120, 4127, 4134, 4135, 4135]"
